Plot,Provenance2,Tree_number,Total_height,Merchantable_height,DBH,Age,basal_area_m2
1,AS1,1,19.8,9,24.3,11,0.04637697615045592
1,AS1,4,21,11,26.7,11,0.055990249670440695
1,AS1,7,20,9.3,27.8,11,0.06069871166000841
1,AS1,2,21.3,10.3,22.8,11,0.04082813812605295
1,AS1,6,19,9,25.7,11,0.05187476329423806
1,AS1,3,20.4,8.9,23,11,0.04154756284372502
1,AS1,5,20.3,7.9,22.9,11,0.04118706508672558
1,AS1,1,21.4,15.5,29.2,11,0.06696618900392003
1,AS1,5,21.8,10.3,27.9,11,0.06113617843702075
1,AS1,7,21.8,10.3,26.7,11,0.055990249670440695
1,AS1,2,22.3,10.8,27.4,11,0.05896455251522681
1,AS1,6,23.2,9,26.1,11,0.053502108288797576
1,AS1,4,22.9,10.7,24.5,11,0.04714352475793183
1,AS1,6,23.4,10.4,27.1,11,0.057680426518072
1,AS1,1,22.1,10.3,31.6,11,0.07842671900421559
1,AS1,3,22.1,10.9,26.1,11,0.053502108288797576
1,AS1,6,22.4,13,29.2,11,0.06696618900392003
1,AS1,7,22.8,13.2,30.5,11,0.07306166415004763
2,AS10,1,24.8,13.4,28.6,11,0.06424242817325769
2,AS10,4,22.3,12.6,30,11,0.07068583470577035
2,AS10,7,23.2,10,29.8,11,0.06974649850234699
2,AS10,2,22.5,12.5,28.5,11,0.06379396582195773
2,AS10,5,24.3,11.4,27.9,11,0.06113617843702075
2,AS10,6,21.1,11.5,29.9,11,0.07021538120589527
2,AS10,1,24.1,12.5,32.2,11,0.08143322317370104
2,AS10,1,20,10.1,25,11,0.04908738521234052
2,AS10,2,23.2,9.5,28,11,0.06157521601035995
2,AS10,4,23.1,11.2,27.9,11,0.06113617843702075
2,AS10,6,19.7,9.9,26.2,11,0.05391287152825445
2,AS10,3,22.1,13.2,24.8,11,0.048305128641596654
2,AS10,5,22.5,13.8,26.4,11,0.05473911039614856
2,AS10,2,22.1,10.1,24.6,11,0.04752915525615999
2,AS10,2,22.4,10.8,25,11,0.04908738521234052
2,AS10,7,22.8,13,28.1,11,0.062015824380025925
3,TA1,2,22.2,10.2,26.7,11,0.055990249670440695
3,TA1,4,24.5,15.5,27.1,11,0.057680426518072
3,TA1,5,23.5,12.7,28.5,11,0.06379396582195773
3,TA1,7,23.5,14.2,29.3,11,0.06742564692950753
3,TA1,2,24.3,13.8,27.2,11,0.05810689772079682
3,TA1,5,22.7,13.4,28.7,11,0.06469246132088441
3,TA1,4,23.5,14.1,24.4,11,0.04675946505603048
3,TA1,7,22.9,13.7,25.6,11,0.05147185403641517
3,TA1,1,24.2,12.8,25,11,0.04908738521234052
3,TA1,5,22.5,15.5,28.7,11,0.06469246132088441
3,TA1,1,22.5,13.7,29.9,11,0.07021538120589527
3,TA1,2,23.4,15,25.1,11,0.04948086969220264
3,TA1,5,23.2,14.4,28.1,11,0.062015824380025925
3,TA1,7,22.4,13.7,29.3,11,0.06742564692950753
3,TA1,4,22.2,13.5,23.1,11,0.04190963139705124
3,TA1,2,23.9,15.8,25.4,11,0.05067074790974978
3,TA1,3,23,14.5,24.7,11,0.047916356550714925
3,TA1,7,21.2,11.5,27.1,11,0.057680426518072
4,TA4,3,19.2,10.3,19.9,11,0.031102552668702342
4,TA4,5,16.6,8.8,23.6,11,0.04374353610858429
4,TA4,2,18.1,9.1,17.4,11,0.023778714795021142
4,TA4,6,20.4,6.1,23.9,11,0.04486272849142564
4,TA4,7,19.1,9.4,27.9,11,0.06113617843702075
4,TA4,4,20.5,10.1,23.4,11,0.04300526183499067
4,TA4,5,18.7,7.3,22,11,0.0380132711084365
4,TA4,6,19.4,10.2,24.4,11,0.04675946505603048
4,TA4,1,18.1,9.3,27.9,11,0.06113617843702075
5,Goaso,3,18.5,13.25,21,11,0.03463605900582747
5,Goaso,4,17.5,11,22.5,11,0.03976078202199582
5,Goaso,2,20,14.5,24.6,11,0.04752915525615999
5,Goaso,6,17.75,11.25,22.2,11,0.03870756308487984
5,Goaso,1,17.25,12,30,11,0.07068583470577035
5,Goaso,5,19.25,11.5,23.8,11,0.044488093567485065
5,Goaso,3,18.5,11,23,11,0.04154756284372502
5,Goaso,2,19,12.5,28.1,11,0.062015824380025925
5,Goaso,6,16,10,18.1,11,0.025730429231063806
5,Goaso,4,19.5,11,28.5,11,0.06379396582195773
6,LO,2,20.5,14,27.1,11,0.057680426518072
6,LO,3,21.5,13.25,25.6,11,0.05147185403641517
6,LO,5,18.25,12,26.5,11,0.05515458602458581
6,LO,6,19,12.75,27.6,11,0.059828490494964026
6,LO,1,19.25,11.5,25.7,11,0.05187476329423806
6,LO,7,19.5,10.25,25.6,11,0.05147185403641517
6,LO,2,20.5,14,24.2,11,0.04599605804120816
6,LO,2,18,12,23.6,11,0.04374353610858429
6,LO,4,19.25,12.5,27,11,0.057255526111673984
6,LO,7,19.25,12.5,26,11,0.05309291584566751
6,LO,4,20.5,12,23.5,11,0.04337361357362408
6,LO,6,20.5,14,22.4,11,0.03940813824663036
6,LO,4,20,12.5,23.2,11,0.04227327074670425
6,LO,6,19,12.5,29.7,11,0.06927918659512551
7,GO5,3,17.25,11.25,20.5,11,0.03300635781677776
7,GO5,5,18.5,12,26.3,11,0.05432520556403811
7,GO5,3,21,13.25,22.7,11,0.04047078196170711
7,GO5,1,19.25,12.5,24.8,11,0.048305128641596654
7,GO5,5,19.5,12.5,21.2,11,0.03529893505573491
7,GO5,3,18.75,12,21.6,11,0.03664353671147135
